rootAge_hpd_min,1752
rootAge_hpd_max,1956
rootAge_mean,1869
rootAge_median,1891
clockRate_hpd_min,4.48$ \times 10^{-5}$
clockRate_hpd_max,2.72$ \times 10^{-4}$
clockRate_mean,1.35$ \times 10^{-4}$
clockRate_median,1.24$ \times 10^{-4}$
latentBranches_hpd_min,0
latentBranches_hpd_max,6
latentBranches_mean,2.7
latentBranches_median,3
latentStateRate_hpd_min,0.00
latentStateRate_hpd_max,0.03
latentStateRate_mean,0.01
latentStateRate_median,0.01
latentStateBias_hpd_min,0.072
latentStateBias_hpd_max,0.910
latentStateBias_mean,0.54
latentStateBias_median,0.55